,action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
0,,,348842,[],CHEMBL857450,Inhibition against DNA-Dependent ATPase activity of HSV-1 helicase-primase in HSV-1-infected CV-1 cells,B,,,BAO_0000201,BAO_0000219,cell-based format,O=c1[nH]c(Nc2cccc(C(F)(F)F)c2)nc2[nH]cnc12,,,CHEMBL1128737,J Med Chem,1995.0,,CHEMBL405761,,CHEMBL405761,,0,http://qudt.org/vocab/unit#Percent,89062,=,1,1,=,,Inhibition,%,,13.0,CHEMBL4380,Herpes simplex virus (type 1 / strain 17),DNA helicase/primase complex protein,10299,,,Inhibition,%,UO_0000187,,13.0
1,,,348843,[],CHEMBL689340,Inhibition against DNA-Dependent GTPase activity of HSV-1 helicase-primase in HSV-1-infected CV-1 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,Nc1[nH]c(Nc2ccc(Cl)c(Cl)c2)nc2ncnc1-2,,,CHEMBL1128737,J Med Chem,1995.0,"{'bei': '20.57', 'le': '0.44', 'lle': '3.13', 'sei': '6.56'}",CHEMBL53605,,CHEMBL53605,6.07,0,http://www.openphacts.org/units/Nanomolar,89057,=,1,1,=,,IC50,nM,,850.0,CHEMBL4380,Herpes simplex virus (type 1 / strain 17),DNA helicase/primase complex protein,10299,,,IC50,uM,UO_0000065,,0.85
2,,,348844,[],CHEMBL689341,Inhibition against the primase activity of HSV-1 helicase-primase at a concentration 200 micro/mL,B,,,BAO_0000201,BAO_0000357,single protein format,Nc1[nH]c(Nc2ccc(Cl)c(Cl)c2)nc2ncnc1-2,,,CHEMBL1128737,J Med Chem,1995.0,,CHEMBL53605,,CHEMBL53605,,0,http://qudt.org/vocab/unit#Percent,89057,=,1,1,=,,Inhibition,%,,94.0,CHEMBL4380,Herpes simplex virus (type 1 / strain 17),DNA helicase/primase complex protein,10299,,,Inhibition,%,UO_0000187,,94.0
3,,,348845,[],CHEMBL690907,Inhibition against Primase by coupled primase-DNA polymerase-I assay with the two subunit recombinant HSV-1 helicase primase,B,,,BAO_0000190,BAO_0000357,single protein format,Nc1[nH]c(Nc2ccc(Cl)c(Cl)c2)nc2ncnc1-2,,,CHEMBL1128737,J Med Chem,1995.0,"{'bei': '16.56', 'le': '0.35', 'lle': '1.95', 'sei': '5.28'}",CHEMBL53605,,CHEMBL53605,4.89,0,http://www.openphacts.org/units/Nanomolar,89057,=,1,1,=,,IC50,nM,,13000.0,CHEMBL4380,Herpes simplex virus (type 1 / strain 17),DNA helicase/primase complex protein,10299,,,IC50,uM,UO_0000065,,13.0
4,,,352953,[],CHEMBL857450,Inhibition against DNA-Dependent ATPase activity of HSV-1 helicase-primase in HSV-1-infected CV-1 cells,B,,,BAO_0000201,BAO_0000219,cell-based format,Oc1[nH]c(Nc2ccccc2)nc2ncnc1-2,,,CHEMBL1128737,J Med Chem,1995.0,,CHEMBL287727,,CHEMBL287727,,0,http://qudt.org/vocab/unit#Percent,89034,=,1,1,=,,Inhibition,%,,0.0,CHEMBL4380,Herpes simplex virus (type 1 / strain 17),DNA helicase/primase complex protein,10299,,,Inhibition,%,UO_0000187,,0.0
5,,,355984,[],CHEMBL857450,Inhibition against DNA-Dependent ATPase activity of HSV-1 helicase-primase in HSV-1-infected CV-1 cells,B,,,BAO_0000201,BAO_0000219,cell-based format,Oc1[nH]c(Nc2ccc(Cl)c(Cl)c2)nc2ncnc1-2,,,CHEMBL1128737,J Med Chem,1995.0,,CHEMBL51613,,CHEMBL51613,,0,http://qudt.org/vocab/unit#Percent,89061,=,1,1,=,,Inhibition,%,,98.0,CHEMBL4380,Herpes simplex virus (type 1 / strain 17),DNA helicase/primase complex protein,10299,,,Inhibition,%,UO_0000187,,98.0
6,,,355985,[],CHEMBL689340,Inhibition against DNA-Dependent GTPase activity of HSV-1 helicase-primase in HSV-1-infected CV-1 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,Oc1[nH]c(Nc2ccc(Cl)c(Cl)c2)nc2ncnc1-2,,,CHEMBL1128737,J Med Chem,1995.0,"{'bei': '20.45', 'le': '0.44', 'lle': '3.00', 'sei': '6.98'}",CHEMBL51613,,CHEMBL51613,6.06,0,http://www.openphacts.org/units/Nanomolar,89061,=,1,1,=,,IC50,nM,,880.0,CHEMBL4380,Herpes simplex virus (type 1 / strain 17),DNA helicase/primase complex protein,10299,,,IC50,uM,UO_0000065,,0.88
7,,,357445,[],CHEMBL857450,Inhibition against DNA-Dependent ATPase activity of HSV-1 helicase-primase in HSV-1-infected CV-1 cells,B,,,BAO_0000201,BAO_0000219,cell-based format,Oc1[nH]c(Nc2ccc(F)cc2)nc2ncnc1-2,,,CHEMBL1128737,J Med Chem,1995.0,,CHEMBL298986,,CHEMBL298986,,0,http://qudt.org/vocab/unit#Percent,89036,=,1,1,=,,Inhibition,%,,5.0,CHEMBL4380,Herpes simplex virus (type 1 / strain 17),DNA helicase/primase complex protein,10299,,,Inhibition,%,UO_0000187,,5.0
8,,,357446,[],CHEMBL689340,Inhibition against DNA-Dependent GTPase activity of HSV-1 helicase-primase in HSV-1-infected CV-1 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,Oc1cc(Nc2cc(Cl)cc(Cl)c2)nc(O)n1,,,CHEMBL1128737,J Med Chem,1995.0,,CHEMBL298714,,CHEMBL298714,,0,http://www.openphacts.org/units/Nanomolar,89053,>,1,1,>,,IC50,nM,,2000.0,CHEMBL4380,Herpes simplex virus (type 1 / strain 17),DNA helicase/primase complex protein,10299,,,IC50,uM,UO_0000065,,2.0
9,,,357447,[],CHEMBL689341,Inhibition against the primase activity of HSV-1 helicase-primase at a concentration 200 micro/mL,B,,,BAO_0000201,BAO_0000357,single protein format,Oc1cc(Nc2cc(Cl)cc(Cl)c2)nc(O)n1,,,CHEMBL1128737,J Med Chem,1995.0,,CHEMBL298714,,CHEMBL298714,,0,http://qudt.org/vocab/unit#Percent,89053,=,1,1,=,,Inhibition,%,,46.0,CHEMBL4380,Herpes simplex virus (type 1 / strain 17),DNA helicase/primase complex protein,10299,,,Inhibition,%,UO_0000187,,46.0
10,,,360172,[],CHEMBL689341,Inhibition against the primase activity of HSV-1 helicase-primase at a concentration 200 micro/mL,B,,,BAO_0000201,BAO_0000357,single protein format,Nc1nc(Cl)cc(Nc2ccc(Cl)c(Cl)c2)n1,,,CHEMBL1128737,J Med Chem,1995.0,,CHEMBL53912,,CHEMBL53912,,0,http://qudt.org/vocab/unit#Percent,89051,=,1,1,=,,Inhibition,%,,98.0,CHEMBL4380,Herpes simplex virus (type 1 / strain 17),DNA helicase/primase complex protein,10299,,,Inhibition,%,UO_0000187,,98.0
11,,,360173,[],CHEMBL690907,Inhibition against Primase by coupled primase-DNA polymerase-I assay with the two subunit recombinant HSV-1 helicase primase,B,,,BAO_0000190,BAO_0000357,single protein format,Nc1nc(Cl)cc(Nc2ccc(Cl)c(Cl)c2)n1,,,CHEMBL1128737,J Med Chem,1995.0,"{'bei': '17.48', 'le': '0.41', 'lle': '1.30', 'sei': '7.93'}",CHEMBL53912,,CHEMBL53912,5.06,0,http://www.openphacts.org/units/Nanomolar,89051,=,1,1,=,,IC50,nM,,8700.0,CHEMBL4380,Herpes simplex virus (type 1 / strain 17),DNA helicase/primase complex protein,10299,,,IC50,uM,UO_0000065,,8.7
