"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL455357";"";"Alpha-Amyrin";"Small molecule";"";"426.73";"32";"47";"8.02";"20.23";"1";"1";"1";"0";"N";"0.39";"None";"None";"7.39";"7.39";"0";"MOL";"-1";"31";"1";"1";"1";"426.3862";"3.25";"NEUTRAL";"C30H50O";"C[C@H]1[C@H](C)CC[C@]2(C)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@H]12";"FSLPMRQHCOLESF-SFMCKYFRSA-N"
"CHEMBL1347385";"";"";"Small molecule";"";"412.47";"42";"52";"5.05";"62.55";"4";"1";"1";"4";"N";"0.38";"6.96";"None";"4.76";"4.31";"4";"MOL";"-1";"30";"5";"1";"1";"412.0882";"-1.23";"NEUTRAL";"C24H16N2O3S";"O=C1NN(c2ccccc2)C(=O)/C1=C/c1ccc(Sc2cccc3ccccc23)o1";"CEPJKFDAQFVSJZ-HMMYKYKNSA-N"
"CHEMBL258249";"ALEURITOLIC ACID";"Aleuritolic Acid|Maprounic Acid";"Small molecule";"";"456.71";"7";"12";"7.23";"57.53";"2";"2";"1";"1";"N";"0.41";"4.74";"None";"6.59";"3.99";"0";"MOL";"-1";"33";"3";"2";"1";"456.3603";"2.93";"ACID";"C30H48O3";"CC1(C)CC[C@]2(C(=O)O)CC=C3[C@]4(C)CC[C@H]5C(C)(C)[C@@H](O)CC[C@]5(C)[C@H]4CC[C@@]3(C)[C@@H]2C1";"BHHPRAFMEFGOLZ-QVUWEPBXSA-N"
"CHEMBL4071088";"";"";"Small molecule";"";"488.38";"2";"10";"6.41";"46.61";"3";"0";"1";"5";"N";"0.31";"None";"None";"6.45";"6.45";"3";"MOL";"-1";"32";"4";"0";"1";"487.0783";"-0.69";"NEUTRAL";"C27H22BrNO3";"CCOC(=O)c1ccc(/C=C2\C=C(c3ccccc3)N(c3ccc(C)cc3Br)C2=O)cc1";"HJOPFFJWPKZXDS-CJLVFECKSA-N"
"CHEMBL556501";"";"";"Small molecule";"";"314.25";"1";"2";"2.31";"109.36";"7";"3";"0";"1";"N";"0.63";"6.38";"None";"2.39";"1.26";"3";"MOL";"-1";"23";"7";"3";"0";"314.0427";"1.42";"ACID";"C16H10O7";"O=c1c(O)c(-c2ccc3c(c2)OCO3)oc2cc(O)cc(O)c12";"KCXWXDGJLDWDTF-UHFFFAOYSA-N"
"CHEMBL1544885";"";"";"Small molecule";"";"456.45";"20";"25";"5.46";"106.01";"7";"1";"1";"6";"N";"0.38";"7.39";"None";"3.83";"3.52";"4";"MOL";"-1";"34";"8";"1";"1";"456.1321";"-1.43";"NEUTRAL";"C26H20N2O6";"Cc1cc(N2C(=O)C(O)=C(C(=O)c3ccc(C)o3)C2c2cccc(Oc3ccccc3)c2)no1";"XZOFKDHJBMIYSW-UHFFFAOYSA-N"
"CHEMBL2398060";"";"";"Small molecule";"";"496.49";"6";"21";"4.49";"97.01";"6";"1";"0";"9";"N";"0.44";"8.51";"None";"3.86";"3.83";"3";"MOL";"-1";"34";"7";"1";"0";"496.1192";"-1.51";"NEUTRAL";"C22H20F4N4O3S";"N#Cc1c(-c2ccc(S(=O)(=O)NC(CF)CF)cn2)n(C2CCC2)c2cc(OC(F)F)ccc12";"GAMWUVBAJFOGKT-UHFFFAOYSA-N"
"CHEMBL1254525";"";"";"Small molecule";"";"458.65";"3";"7";"-0.01";"56.74";"8";"1";"0";"6";"N";"0.64";"10.88";"7.74";"-0.20";"-0.91";"1";"MOL";"-1";"33";"8";"1";"0";"458.3369";"-0.32";"NEUTRAL";"C25H42N6O2";"CN1CCN(Cc2cc(CN3CCN(C)CC3)c(O)c(=O)c(CN3CCN(C)CC3)c2)CC1";"VJRSBPNHUAADOB-UHFFFAOYSA-N"
"CHEMBL453805";"PENTOSALEN";"8-ISOAMYLENOXYPSORALEN|AMMIDIN|IMPERATORIN|MARMELOSIN|NSC-402949|PENTOSALEN";"Small molecule";"-1.0";"270.28";"50";"152";"3.88";"52.58";"4";"0";"0";"3";"N";"0.53";"None";"None";"3.15";"3.15";"3";"MOL";"0";"20";"4";"0";"0";"270.0892";"1.57";"NEUTRAL";"C16H14O4";"CC(C)=CCOc1c2occc2cc2ccc(=O)oc12";"OLOOJGVNMBJLLR-UHFFFAOYSA-N"
"CHEMBL52034";"";"";"Small molecule";"";"272.09";"4";"9";"2.94";"78.27";"5";"3";"0";"2";"N";"0.78";"12.22";"0.63";"3.96";"3.96";"2";"MOL";"-1";"17";"5";"3";"0";"270.9915";"-1.53";"NEUTRAL";"C10H7Cl2N3O2";"Oc1cc(Nc2ccc(Cl)c(Cl)c2)nc(O)n1";"LIRVMDIXHXAYMS-UHFFFAOYSA-N"
