"Stars","Title","Entry ID","Entry Name","Date Added","Date Modified","Source Path","Source File","Source File Index","Chirality 1","chembl_id","chembl_pref_name","Chirality 2","Chirality 3","Chirality 4","Chirality 5","Chirality 6","Chirality 7","Chirality 8","Chirality 9","Chirality 10","Chirality 11","Chirality 12","Chirality 13","Chirality 14","Chirality 15","Chirality 16","Chirality 17","Chirality 18","Chirality 19","Chirality 20","Chirality 21","Chirality 22","Chirality 23","Chirality 24","Chirality 25","Chirality 26","Chirality 27","Chirality 28","Chirality 29","Chirality 30","mmshare version","flags","Ionization Penalty","Ionization Penalty Charging","Ionization Penalty Neutral","State Penalty","Charging Adjusted Penalty","Tot Q","Tot abs Q","EZ 1","Force Field","Energy","Chiralities Consistent","Variant","job name","tautomer probability","Chemistry Notes","EZ 2","EZ 3","EZ 4","EZ 5","EZ 6","EZ 7","EZ 8","EZ 9","EZ 10","EZ 11","EZ 12","EZ 13","EZ 14","EZ 15","EZ 16","PDB TITLE","PDB ID","PDB CLASSIFICATION","PDB DEPOSITION DATE","PDB format version","PDB RESOLUTION","PDB EXPDTA","PDB EXPDTA PH","PDB REMARK 350 Biomolecule 1 Chains","PDB REMARK 350 Biomolecule 1 Transformation 1","entry id backup","prepared","assigned bond orders","added hydrogens","treated metals","created disulfur","deleted far waters","ran protassign","Potential Energy-OPLS3","RMS Derivative-OPLS3","Max Derivative-OPLS3","Stretch Energy-OPLS3","Bend Energy-OPLS3","LJ-14 Energy-OPLS3","El-14 Energy-OPLS3","Van der Waals Energy-OPLS3","Electrostatic Energy-OPLS3","Dihedral Energy-OPLS3","target temperature","ran impref","grid version","gridbox xcent","gridbox ycent","gridbox zcent","gridbox xrange","gridbox yrange","gridbox zrange","gridbox ligxrange","gridbox ligyrange","gridbox ligzrange","receptor","glide gridfile","glide lignum","glide rotatable bonds","docking score","glide ligand efficiency","glide ligand efficiency sa","glide ligand efficiency ln","glide gscore","glide lipo","glide hbond","glide metal","glide rewards","glide evdw","glide ecoul","glide erotb","glide esite","glide emodel","glide energy","glide einternal","glide confnum","glide posenum","glide eff state penalty","Mark"
,"CHEMBL275938","1724","chembl_ligands_with_ids.437","2024-01-16 14:44:45","2024-01-16 14:44:45","/home/users/mnguyen/ipz/glide-dock_SP_chembl_ligands","glide-dock_SP_chembl_ligands_pv.maegz",2,"","CHEMBL275938","AURINTRICARBOXYLIC ACID","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",37011,0,0.0001,0.0001,0.0000,0.0000,0.000,-3,3,"9_15_16_21_E","OPLS3",71.005,true,"CHEMBL275938-1","ligprep_6",1.000,"","17_18_19_9_Z","","","","","","","","","","","","","","","","","","","",,"",,"","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"glide-grid_test",853,7,-5.444,-0.176,-0.552,-1.228,-5.444,-0.709,-0.635,0.000,-1.128,-17.776,-15.389,0.225,0.000,-50.227,-33.166,2.747,8,297,0.000,
,"CHEMBL1813567","1725","chembl_ligands_with_ids.413","2024-01-16 14:44:45","2024-01-16 14:44:45","/home/users/mnguyen/ipz/glide-dock_SP_chembl_ligands","glide-dock_SP_chembl_ligands_pv.maegz",3,"29_S_55_59_26_76","CHEMBL1813567","None","31_S_56_30_33_77","37_S_57_39_38_87","","","","","","","","","","","","","","","","","","","","","","","","","","","",37011,0,0.0919,0.0919,0.0000,0.0822,0.174,0,2,"28_43_44_45_E","OPLS3",74.165,true,"CHEMBL1813567-1","ligprep_6",,"This compound has an ester and may undergo hydrolysis at high or low pH.","","","","","","","","","","","","","","","","","","","","",,"",,"","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"glide-grid_test",813,14,-5.423,-0.090,-0.354,-1.065,-5.505,-1.511,-0.471,0.000,-0.067,-40.993,-10.002,0.098,-0.004,-60.410,-50.995,15.084,94,360,0.082,
,"CHEMBL405761","1726","chembl_ligands_with_ids.299","2024-01-16 14:44:45","2024-01-16 14:44:45","/home/users/mnguyen/ipz/glide-dock_SP_chembl_ligands","glide-dock_SP_chembl_ligands_pv.maegz",4,"","CHEMBL405761","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",37011,0,0.0050,0.0041,0.0009,0.0650,0.069,0,0,"","OPLS3",37.094,true,"CHEMBL405761-1","ligprep_6",0.882,"","","","","","","","","","","","","","","","","","","","","",,"",,"","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"glide-grid_test",611,3,-5.397,-0.257,-0.709,-1.334,-5.462,-0.577,-0.851,0.000,-2.069,-19.687,-9.109,0.420,-0.034,-37.592,-28.796,0.651,1,117,0.065,
,"CHEMBL82411","1727","chembl_ligands_with_ids.310","2024-01-16 14:44:45","2024-01-16 14:44:45","/home/users/mnguyen/ipz/glide-dock_SP_chembl_ligands","glide-dock_SP_chembl_ligands_pv.maegz",5,"","CHEMBL82411","INDOLE-3-ACETIC ACID","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",37011,0,0.0011,0.0011,0.0000,0.0007,0.002,-1,1,"","OPLS3",11.480,true,"CHEMBL82411-1","ligprep_6",,"","","","","","","","","","","","","","","","","","","","","",,"",,"","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"glide-grid_test",631,2,-5.327,-0.410,-0.963,-1.494,-5.327,-0.801,-0.318,0.000,-2.316,-12.021,-8.600,0.000,0.000,-30.020,-20.621,0.619,1,320,0.001,
,"CHEMBL466642","1728","chembl_ligands_with_ids.21","2024-01-16 14:44:45","2024-01-16 14:44:45","/home/users/mnguyen/ipz/glide-dock_SP_chembl_ligands","glide-dock_SP_chembl_ligands_pv.maegz",6,"","CHEMBL466642","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",37011,0,0.0000,0.0000,0.0000,0.0000,0.000,0,0,"15_18_19_20_E","OPLS3",13.786,true,"CHEMBL466642-1","ligprep_6",1.000,"This compound has an ester and may undergo hydrolysis at high or low pH.","","","","","","","","","","","","","","","","","","","","",,"",,"","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"glide-grid_test",43,8,-5.290,-0.220,-0.636,-1.266,-5.290,-1.780,-0.835,0.000,-1.588,-27.868,-5.928,1.233,-0.037,-43.374,-33.796,2.210,57,62,0.000,
,"CHEMBL1938663","1729","chembl_ligands_with_ids.115","2024-01-16 14:44:45","2024-01-16 14:44:45","/home/users/mnguyen/ipz/glide-dock_SP_chembl_ligands","glide-dock_SP_chembl_ligands_pv.maegz",7,"11_R_10_15_12_29","CHEMBL1938663","None","13_R_14_16_12_32","14_R_18_15_13_33","15_S_19_14_11_34","","","","","","","","","","","","","","","","","","","","","","","","","","",37011,0,0.0000,0.0000,0.0000,0.0000,0.000,0,0,"","OPLS3",15.104,true,"CHEMBL1938663-1","ligprep_6",1.000,"","","","","","","","","","","","","","","","","","","","","",,"",,"","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"glide-grid_test",274,8,-5.288,-0.212,-0.618,-1.253,-5.288,-1.001,-0.918,0.000,-1.010,-23.132,-12.458,0.669,-0.003,-44.426,-35.590,4.349,46,264,0.000,
,"CHEMBL15985","1730","chembl_ligands_with_ids.150","2024-01-16 14:44:45","2024-01-16 14:44:45","/home/users/mnguyen/ipz/glide-dock_SP_chembl_ligands","glide-dock_SP_chembl_ligands_pv.maegz",8,"","CHEMBL15985","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",37011,0,0.0050,0.0041,0.0009,0.0650,0.069,0,0,"","OPLS3",38.733,true,"CHEMBL15985-1","ligprep_6",0.882,"","","","","","","","","","","","","","","","","","","","","",,"",,"","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"glide-grid_test",331,2,-5.139,-0.257,-0.697,-1.286,-5.204,-0.642,-0.850,0.000,-1.870,-19.771,-8.795,0.499,-0.033,-37.018,-28.566,0.194,4,263,0.065,
,"CHEMBL560136","1731","chembl_ligands_with_ids.142","2024-01-16 14:44:45","2024-01-16 14:44:45","/home/users/mnguyen/ipz/glide-dock_SP_chembl_ligands","glide-dock_SP_chembl_ligands_pv.maegz",9,"","CHEMBL560136","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",37011,0,0.0432,0.0280,0.0151,0.0338,0.062,1,1,"","OPLS3",27.007,true,"CHEMBL560136-1","ligprep_6",,"","","","","","","","","","","","","","","","","","","","","",,"",,"","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"glide-grid_test",318,6,-5.132,-0.223,-0.635,-1.241,-5.166,-1.370,-0.160,0.000,-1.140,-21.669,-12.654,0.510,-0.025,-41.937,-34.323,5.607,11,285,0.034,
,"CHEMBL2058850","1732","chembl_ligands_with_ids.125","2024-01-16 14:44:45","2024-01-16 14:44:45","/home/users/mnguyen/ipz/glide-dock_SP_chembl_ligands","glide-dock_SP_chembl_ligands_pv.maegz",10,"1_S_6_14_2_44","CHEMBL2058850","ISOHESPERIDIN","23_S_22_31_24_57","24_R_25_23_26_58","26_S_27_24_28_60","28_S_29_30_26_62","30_R_31_28_32_64","34_R_42_33_35_67","35_R_36_34_37_68","37_R_38_35_39_70","39_R_40_41_37_72","41_S_42_39_43_74","","","","","","","","","","","","","","","","","","","",37011,0,0.0119,0.0000,0.0119,0.0087,0.009,0,0,"","OPLS3",44.781,true,"CHEMBL2058850-1","ligprep_6",1.000,"This compound contains an acetal/aminal-like group ( X-CH(R)-Y where X, Y are N, S, or O) that may be acid/base labile, releasing an aldehyde.","","","","","","","","","","","","","","","","","","","","",,"",,"","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"glide-grid_test",288,15,-5.116,-0.119,-0.417,-1.075,-5.125,-1.188,0.000,0.000,-0.070,-29.441,-17.391,0.214,0.000,-58.739,-46.832,5.954,8,215,0.009,
,"CHEMBL42325","1733","chembl_ligands_with_ids.309","2024-01-16 14:44:45","2024-01-16 14:44:45","/home/users/mnguyen/ipz/glide-dock_SP_chembl_ligands","glide-dock_SP_chembl_ligands_pv.maegz",11,"","CHEMBL42325","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",37011,0,0.0250,0.0000,0.0250,0.6094,0.609,0,0,"","OPLS3",22.717,true,"CHEMBL42325-2","ligprep_6",,"","","","","","","","","","","","","","","","","","","","","",,"",,"","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"glide-grid_test",628,9,-5.111,-0.183,-0.554,-1.180,-5.720,-1.603,-0.856,0.000,-0.944,-27.335,-12.193,0.956,-0.078,-50.648,-39.528,4.326,67,248,0.609,
