assay_chembl_id	molecule_chembl_id	standard_value	predicted
CHEMBL1614220	CHEMBL1468444	4872.0	7364.418328781981
CHEMBL1614220	CHEMBL1581396	8970.0	7364.598031387884
CHEMBL4428655	CHEMBL4462427	19400.0	7387.912483190314
CHEMBL4428655	CHEMBL4549260	80000.0	7387.31347901708
CHEMBL1614220	CHEMBL1503034	4492.0	7364.544312154398
CHEMBL4428655	CHEMBL4552648	62000.0	7387.7194478847605
CHEMBL1614220	CHEMBL3191950	4443.0	7364.79666135388
CHEMBL1614220	CHEMBL1323110	4608.0	7364.341447246843
CHEMBL4428655	CHEMBL4562789	80000.0	7386.488143047891
CHEMBL4428655	CHEMBL4465365	80000.0	7387.7438714516875
CHEMBL1614220	CHEMBL3195976	45706.0	7365.024577329884
CHEMBL1614220	CHEMBL1337018	11237.0	7365.184223812356
CHEMBL1614220	CHEMBL1596969	12218.0	7364.829117162249
CHEMBL857450	CHEMBL296595	96.0	7363.258366335339
CHEMBL1614220	CHEMBL1334412	3674.0	7364.932781831265
CHEMBL4428655	CHEMBL4474704	6300.0	7387.435472773412
CHEMBL1614220	CHEMBL1986090	5413.0	7365.0482171882895
CHEMBL857450	CHEMBL52562	60.0	7363.240422148028
CHEMBL1614220	CHEMBL1527520	3432.0	7364.846522343859
CHEMBL4428655	CHEMBL4438480	4300.0	7386.545189141406
CHEMBL4428655	CHEMBL4533592	52000.0	7387.517619114229
CHEMBL1614220	CHEMBL1509648	41317.0	7364.8804908176235
CHEMBL4428655	CHEMBL4517025	4900.0	7387.571051607506
CHEMBL4428655	CHEMBL4436602	80000.0	7387.634958801956
CHEMBL1614220	CHEMBL1561333	2677.0	7363.589561661899
CHEMBL1614220	CHEMBL1333666	3545.0	7364.632866614425
CHEMBL4428655	CHEMBL4450465	10500.0	7386.291038999094
CHEMBL1614220	CHEMBL1458120	3259.0	7363.786738237048
CHEMBL857450	CHEMBL35886	42.0	7363.855636204262
CHEMBL1614220	CHEMBL1496459	6355.0	7364.361547299766
CHEMBL4428655	CHEMBL4556570	80000.0	7387.836902899333
CHEMBL1614220	CHEMBL1310699	5493.0	7365.317495699483
CHEMBL1614220	CHEMBL1337304	15735.0	7364.959615763077
CHEMBL1614220	CHEMBL1381419	5306.0	7365.442306453545
CHEMBL1614220	CHEMBL1486503	9084.0	7365.095148439575
CHEMBL832708	CHEMBL3306225	250000.0	7365.15579189776
CHEMBL832708	CHEMBL298210	700.0	7364.909932253326
CHEMBL1614220	CHEMBL3195767	7797.0	7365.143927704123
CHEMBL857450	CHEMBL53890	17.0	7363.768008077609
CHEMBL1614220	CHEMBL1416382	8087.0	7364.710941424893
CHEMBL4428655	CHEMBL4462771	18000.0	7387.467501488013
CHEMBL4428655	CHEMBL4443851	9600.0	7386.175730086491
CHEMBL1614220	CHEMBL1448067	15415.0	7364.779366831011
CHEMBL1614220	CHEMBL1982808	7775.0	7365.0494783359945
CHEMBL1614220	CHEMBL1324375	108803.0	7365.351791702343
CHEMBL1614220	CHEMBL1481011	5663.0	7363.978101913774
CHEMBL1614220	CHEMBL1447158	36268.0	7365.116372520437
CHEMBL4428655	CHEMBL4562725	8800.0	7387.297738256514
CHEMBL1614220	CHEMBL1469579	2629.0	7364.452965010477
CHEMBL4428655	CHEMBL4588212	37000.0	7386.504640372762
CHEMBL1614220	CHEMBL1364584	25873.0	7364.950308160173
CHEMBL4428655	CHEMBL4459234	13500.0	7387.669742214394
CHEMBL4428655	CHEMBL4452337	5800.0	7387.407307066987
CHEMBL1614220	CHEMBL1610160	6239.0	7363.957027384088
CHEMBL832708	CHEMBL298210	700.0	7364.909932253326
CHEMBL1614220	CHEMBL1587683	5287.0	7363.72948764045
CHEMBL1614220	CHEMBL1495335	17261.0	7364.707841118917
CHEMBL4428655	CHEMBL4548906	18000.0	7387.877013971478
CHEMBL4428655	CHEMBL4470227	8700.0	7386.406265459401
CHEMBL832708	CHEMBL177820	20000.0	7365.319437878857
CHEMBL1614220	CHEMBL1587849	30383.0	7365.400664126091
CHEMBL1614220	CHEMBL1611199	5394.0	7364.930236338142
CHEMBL1614220	CHEMBL1576217	5877.0	7364.124081745067
CHEMBL1614220	CHEMBL1492622	11325.0	7365.705618266967
CHEMBL857450	CHEMBL298986	5.0	7363.29542186788
CHEMBL1614220	CHEMBL1387693	7793.0	7365.335867913758
CHEMBL1614220	CHEMBL1500600	5884.0	7365.29025369228
CHEMBL1614220	CHEMBL1301164	11300.0	7364.681289050239
CHEMBL1614220	CHEMBL1374123	1738.0	7363.438861694145
